ID_Factura,Producto,Cantidad
8553,Masterswipe,80
19586,laplux,137
19586,gizmoclick,105
19586,enterwizard,48
19586,OLCD 60hz i3xaz,128
19586,lapjet,110
19586,QLED 60hz pb51,71
19586,enterwizard,67
12345,lamina plastica,56
12345,laplux,71
12345,typomaster,45
12345,earecho,50
12345,shiftmate,64
12345,pixpad,147
12345,jetnote,93
12345,lamina plastica,130
12345,LCD 30hz pb23,47
12345,OLCD 60hz i3xaz,83
15309,Masterswipe,107
15309,lapjet,110
15309,enterwizard,142
15309,QLED 60hz pb51,54
15309,LCD 60hz pldas,78
15309,typomaster,125
15309,jetnote,42
15309,qwertyguardian,85
15309,basspulse,42
15309,pixpad,42
15309,LCD 30hz pb23,69
20530,TechRodent,121
20530,beatblaster,107
20530,Mightyscroller,76
20530,QLED 60hz sd56,90
187,QLED 60hz pb51,101
187,enterwizard,125
187,QLED 60hz sd56,48
187,escaper,147
20090,pixpad,95
20090,earecho,69
1864,jetnote,97
1864,earecho,114
1864,Mightyscroller,120
7850,generico,142
7850,miniglide,136
7850,jetnote,55
7850,laplux,56
7850,LCD 60hz pldas,123
7850,escaper,118
7850,QLED 60hz sd56,61
23574,laplux,76
23574,Mightyscroller,53
23574,Mightyscroller,141
23574,OLCD 60hz i3xaz,87
282,OLCD 60hz i3xaz,143
282,typomaster,134
282,Mightyscroller,51
282,QLED 60hz sd56,99
282,TechRodent,111
282,acusticflow,45
282,typomaster,109
282,beatblaster,89
22609,acusticflow,147
22609,Mightyscroller,137
4278,enterwizard,142
4278,OLCD 60hz i3xaz,115
4278,qwertyguardian,101
4278,Masterswipe,107
4278,LCD 30hz pb23,68
4278,typomaster,83
4278,OLCD 60hz i3xaz,88
4278,shiftmate,94
4278,OLCD 60hz i3xaz,106
4278,LCD 60hz pldas,51
4278,generico,141
17958,pixpad,87
17958,laplux,133
17958,pixpad,52
17958,TechRodent,87
17958,Masterswipe,79
17958,lapjet,149
17958,enterwizard,102
17958,beatblaster,63
17958,silverscreen,63
17958,shiftmate,134
549,shiftmate,69
549,miniglide,79
549,jetnote,53
549,LCD 60hz pldas,122
549,TechRodent,124
549,gizmoclick,79
549,Mightyscroller,88
549,QLED 60hz pb51,138
10746,enterwizard,123
522,gizmoclick,139
522,silverscreen,62
522,beatblaster,44
522,QLED 60hz sd56,117
522,miniglide,124
522,OLCD 60hz i3xaz,77
3996,Masterswipe,65
3996,Masterswipe,107
3996,TechRodent,73
3996,jetnote,44
14220,TechRodent,119
14220,QLED 60hz pb51,87
14220,LCD 30hz pb23,87
14220,typomaster,51
4899,LCD 30hz pb23,61
4899,basspulse,116
4899,LCD 30hz pb23,44
4899,beatblaster,144
10009,LCD 30hz pb23,40
10009,basspulse,125
10009,beatblaster,74
13949,escaper,47
13949,shiftmate,87
13949,enterwizard,94
13949,silverscreen,120
13949,silverscreen,58
13949,Mightyscroller,146
13949,shiftmate,67
13949,Masterswipe,76
13949,qwertyguardian,129
13949,qwertyguardian,144
13949,beatblaster,74
572,Mightyscroller,45
572,beatblaster,59
572,qwertyguardian,112
572,miniglide,122
572,lapjet,131
17850,LCD 60hz pldas,127
17850,Mightyscroller,99
17850,miniglide,110
17850,LCD 60hz pldas,113
17850,QLED 60hz pb51,95
17850,jetnote,142
17850,basspulse,127
17850,gizmoclick,57
17850,enterwizard,49
18887,typomaster,70
18887,jetnote,93
18887,typomaster,148
18887,typomaster,42
18887,shiftmate,116
13563,LCD 60hz pldas,105
13563,enterwizard,112
13563,escaper,45
13563,acusticflow,85
3105,Vidrio templado,59
6473,QLED 60hz pb51,118
6473,QLED 60hz pb51,55
14259,Mightyscroller,144
14259,beatblaster,64
20310,shiftmate,70
20310,shiftmate,109
20310,qwertyguardian,42
20310,enterwizard,70
20310,laplux,88
19138,QLED 60hz pb51,113
19138,silverscreen,135
19138,escaper,43
19138,QLED 60hz pb51,142
19138,earecho,139
19138,QLED 60hz sd56,147
19138,LCD 30hz pb23,132
3605,earecho,42
3605,gizmoclick,146
3605,gizmoclick,107
3605,LCD 30hz pb23,68
3605,Mightyscroller,139
3605,LCD 60hz pldas,62
1633,gizmoclick,66
1633,enterwizard,145
1633,acusticflow,140
1633,Mightyscroller,107
1633,qwertyguardian,43
1633,Masterswipe,100
1633,shiftmate,87
1633,acusticflow,66
1633,gizmoclick,63
1633,QLED 60hz pb51,60
8013,laplux,49
10151,generico,84
10151,pixpad,87
10151,lamina plastica,146
10151,pixpad,43
10151,generico,46
10151,gizmoclick,56
10151,escaper,71
10151,acusticflow,128
10151,miniglide,120
10151,LCD 60hz pldas,129
10151,jetnote,137
8197,lamina plastica,69
8197,qwertyguardian,84
8197,lapjet,108
8197,Masterswipe,133
8197,miniglide,149
8197,earecho,125
8197,shiftmate,53
8197,generico,88
8197,lapjet,73
9713,Vidrio templado,135
1962,lapjet,139
1962,gizmoclick,78
1962,typomaster,100
1962,pixpad,50
15378,Masterswipe,130
15378,qwertyguardian,55
15378,jetnote,64
15378,enterwizard,72
9552,pixpad,88
9552,laplux,116
9552,QLED 60hz pb51,54
11036,Vidrio templado,59
11036,pixpad,88
11036,shiftmate,135
11036,beatblaster,149
11036,QLED 60hz pb51,137
2665,Mightyscroller,63
2665,LCD 30hz pb23,139
2665,escaper,102
2665,typomaster,47
2665,lapjet,46
2665,basspulse,77
17470,escaper,53
17470,enterwizard,41
17470,typomaster,127
17470,gizmoclick,128
17470,LCD 30hz pb23,103
17470,QLED 60hz sd56,103
17470,LCD 30hz pb23,59
17470,earecho,102
17470,escaper,51
17470,escaper,141
17470,Mightyscroller,118
17470,earecho,105
17470,LCD 60hz pldas,74
9665,laplux,85
9665,TechRodent,57
9665,miniglide,83
9665,basspulse,82
9665,qwertyguardian,57
9665,QLED 60hz sd56,121
9665,Vidrio templado,78
9665,gizmoclick,76
9665,Mightyscroller,140
9665,typomaster,144
12653,miniglide,56
12653,TechRodent,107
12653,laplux,62
12653,Mightyscroller,84
12653,OLCD 60hz i3xaz,68
12653,LCD 30hz pb23,79
12653,pixpad,120
12653,Masterswipe,126
12653,Masterswipe,57
12653,generico,135
5497,earecho,132
5497,Vidrio templado,58
5497,jetnote,145
5497,qwertyguardian,127
5497,laplux,70
5497,beatblaster,80
6994,acusticflow,82
6994,shiftmate,131
6994,shiftmate,110
6994,TechRodent,99
6994,enterwizard,44
6994,QLED 60hz pb51,64
6994,basspulse,56
6994,earecho,123
6994,generico,70
6994,basspulse,59
6994,laplux,142
6994,laplux,118
6994,Masterswipe,65
7535,OLCD 60hz i3xaz,41
7535,TechRodent,127
7535,typomaster,84
7535,earecho,70
17458,jetnote,137
17458,enterwizard,110
17458,jetnote,86
12053,escaper,47
12053,QLED 60hz sd56,59
12053,pixpad,110
12053,basspulse,48
12053,miniglide,125
12053,basspulse,103
6759,escaper,77
6759,silverscreen,60
6759,LCD 60hz pldas,64
6759,shiftmate,72
6759,typomaster,147
11311,shiftmate,72
11311,lapjet,146
11311,LCD 30hz pb23,76
11311,LCD 30hz pb23,97
11311,basspulse,101
11311,miniglide,71
11311,Mightyscroller,143
11311,qwertyguardian,102
11311,QLED 60hz pb51,147
11311,Masterswipe,44
24423,basspulse,68
24423,gizmoclick,136
24423,generico,46
24423,QLED 60hz sd56,58
24423,LCD 60hz pldas,107
24423,typomaster,104
24423,QLED 60hz sd56,82
24423,escaper,125
24423,lamina plastica,145
24423,TechRodent,126
191,typomaster,126
191,enterwizard,75
191,pixpad,112
191,Masterswipe,120
22649,pixpad,136
22649,Mightyscroller,59
22649,earecho,109
22649,shiftmate,97
22649,pixpad,129
22649,pixpad,85
22649,escaper,88
22649,Vidrio templado,72
22649,Masterswipe,88
4046,earecho,106
4046,acusticflow,55
16608,shiftmate,77
16608,TechRodent,84
16608,jetnote,72
16608,Vidrio templado,77
16608,miniglide,83
16608,lapjet,97
16608,Masterswipe,114
16608,typomaster,44
1187,laplux,148
1187,Vidrio templado,87
1187,miniglide,89
13539,QLED 60hz pb51,95
13539,pixpad,101
17312,qwertyguardian,60
17312,enterwizard,132
17312,QLED 60hz pb51,46
17312,LCD 30hz pb23,104
17312,silverscreen,80
17312,Mightyscroller,119
22404,escaper,106
22404,OLCD 60hz i3xaz,142
22404,typomaster,82
22404,typomaster,111
22404,OLCD 60hz i3xaz,141
22404,shiftmate,71
22404,lamina plastica,58
22404,Masterswipe,49
22404,beatblaster,82
22404,silverscreen,135
22404,LCD 30hz pb23,97
22404,lapjet,118
14827,QLED 60hz pb51,146
14827,jetnote,56
14827,LCD 30hz pb23,67
14827,generico,127
17825,silverscreen,71
17825,miniglide,79
17825,beatblaster,117
17825,miniglide,136
17825,typomaster,90
17825,QLED 60hz sd56,43
22892,LCD 60hz pldas,95
22892,qwertyguardian,141
22892,generico,69
22892,generico,86
17596,typomaster,54
17596,lamina plastica,52
17596,earecho,115
17596,enterwizard,117
17596,basspulse,71
17596,enterwizard,49
17990,Mightyscroller,83
17990,gizmoclick,67
16324,LCD 30hz pb23,146
16324,miniglide,55
16324,lapjet,140
16324,earecho,48
16324,gizmoclick,112
16324,beatblaster,48
16324,Vidrio templado,85
8705,Mightyscroller,143
8705,LCD 30hz pb23,135
8705,escaper,98
8705,qwertyguardian,48
17977,shiftmate,64
17977,Vidrio templado,94
17977,enterwizard,60
17977,miniglide,41
17977,gizmoclick,45
17977,typomaster,136
17977,Masterswipe,130
12226,acusticflow,66
12226,acusticflow,105
12226,gizmoclick,84
12226,escaper,141
12226,typomaster,91
12226,acusticflow,127
12226,LCD 30hz pb23,97
12226,typomaster,71
12226,basspulse,148
12226,QLED 60hz pb51,103
8534,enterwizard,76
8534,OLCD 60hz i3xaz,119
8534,QLED 60hz sd56,113
8534,Mightyscroller,84
8534,Masterswipe,118
8534,shiftmate,81
8534,shiftmate,107
8501,OLCD 60hz i3xaz,78
8501,lamina plastica,141
8501,beatblaster,65
8501,lapjet,104
8501,lamina plastica,133
8501,silverscreen,83
16082,lamina plastica,95
16082,laplux,63
16082,Vidrio templado,67
16082,pixpad,144
16082,QLED 60hz pb51,117
2363,shiftmate,60
2363,qwertyguardian,40
2363,Masterswipe,89
2363,basspulse,49
22631,escaper,59
17324,QLED 60hz sd56,146
17324,Vidrio templado,96
17324,LCD 60hz pldas,52
17324,gizmoclick,140
17324,OLCD 60hz i3xaz,72
17324,beatblaster,50
17324,pixpad,73
14603,typomaster,89
14603,Mightyscroller,146
14603,QLED 60hz pb51,50
14603,OLCD 60hz i3xaz,115
14603,OLCD 60hz i3xaz,91
14603,Mightyscroller,104
9309,enterwizard,126
9309,TechRodent,41
9309,LCD 60hz pldas,74
9309,typomaster,72
9309,OLCD 60hz i3xaz,47
9309,earecho,65
9309,Mightyscroller,93
9109,qwertyguardian,77
9109,QLED 60hz pb51,50
9109,qwertyguardian,93
9109,miniglide,96
9109,shiftmate,123
9109,TechRodent,40
9109,LCD 30hz pb23,79
20587,Masterswipe,94
20587,LCD 30hz pb23,105
20587,miniglide,112
20587,Mightyscroller,118
20587,Vidrio templado,124
20587,Masterswipe,72
20587,LCD 60hz pldas,87
20587,laplux,69
20587,silverscreen,91
20587,lamina plastica,107
23700,miniglide,116
23700,pixpad,117
23700,gizmoclick,113
23700,Mightyscroller,82
23700,TechRodent,98
23700,Mightyscroller,103
23700,pixpad,120
7025,QLED 60hz pb51,137
7025,earecho,144
7025,typomaster,87
7025,enterwizard,101
7025,QLED 60hz sd56,149
7025,Mightyscroller,42
7025,QLED 60hz sd56,147
7025,Mightyscroller,62
7025,jetnote,41
7025,LCD 60hz pldas,82
11368,LCD 30hz pb23,63
11368,OLCD 60hz i3xaz,49
11368,LCD 30hz pb23,101
11368,laplux,62
11368,silverscreen,142
11368,gizmoclick,129
11368,qwertyguardian,64
2709,qwertyguardian,118
2709,shiftmate,57
2709,pixpad,90
2709,silverscreen,137
2709,typomaster,42
2709,lapjet,78
2709,typomaster,98
2709,QLED 60hz pb51,131
18448,escaper,99
18448,QLED 60hz sd56,60
18448,typomaster,56
18448,pixpad,53
18448,enterwizard,125
18448,acusticflow,129
12723,escaper,123
12723,gizmoclick,139
12723,gizmoclick,51
12723,earecho,75
12723,QLED 60hz sd56,82
12723,gizmoclick,50
12723,Vidrio templado,89
12723,jetnote,81
5098,earecho,71
5098,OLCD 60hz i3xaz,113
5098,beatblaster,63
5098,enterwizard,45
23070,OLCD 60hz i3xaz,109
23070,QLED 60hz pb51,76
1932,LCD 30hz pb23,58
1932,enterwizard,135
1932,basspulse,146
1932,beatblaster,55
1932,Masterswipe,54
1932,OLCD 60hz i3xaz,136
1932,LCD 30hz pb23,117
10910,basspulse,44
10910,typomaster,43
10910,basspulse,89
10910,escaper,93
10910,escaper,129
10910,enterwizard,79
10910,Mightyscroller,55
10910,LCD 30hz pb23,43
10910,QLED 60hz sd56,67
5105,TechRodent,119
5105,Mightyscroller,148
5105,gizmoclick,138
5105,beatblaster,122
5105,typomaster,88
5105,Mightyscroller,60
5105,enterwizard,125
5105,qwertyguardian,47
5105,QLED 60hz sd56,97
197,lamina plastica,121
197,LCD 30hz pb23,148
197,escaper,70
197,LCD 60hz pldas,58
197,escaper,149
197,Masterswipe,66
197,Masterswipe,148
197,miniglide,130
197,laplux,135
197,earecho,125
197,LCD 60hz pldas,127
197,escaper,45
1227,Vidrio templado,87
1227,qwertyguardian,55
1227,LCD 30hz pb23,87
1227,enterwizard,62
1227,beatblaster,66
1227,Masterswipe,109
1227,LCD 60hz pldas,98
1227,shiftmate,97
1227,basspulse,108
14535,Masterswipe,75
14535,QLED 60hz sd56,42
14535,lapjet,130
14535,qwertyguardian,54
14535,Mightyscroller,134
14535,shiftmate,130
14535,laplux,82
14535,escaper,114
14535,QLED 60hz sd56,89
14535,miniglide,101
20074,basspulse,141
18024,miniglide,108
18024,earecho,70
18024,qwertyguardian,131
18024,escaper,57
18024,QLED 60hz sd56,112
18024,LCD 60hz pldas,95
18024,OLCD 60hz i3xaz,78
18024,gizmoclick,141
18024,qwertyguardian,115
18024,lapjet,79
18024,escaper,135
18024,silverscreen,146
18024,enterwizard,93
18024,QLED 60hz pb51,71
22061,gizmoclick,46
22061,TechRodent,58
22061,QLED 60hz pb51,103
22061,OLCD 60hz i3xaz,64
22061,LCD 60hz pldas,112
22061,acusticflow,146
22061,QLED 60hz pb51,87
22061,miniglide,47
22061,gizmoclick,56
22061,QLED 60hz pb51,64
5820,qwertyguardian,114
5820,typomaster,132
5820,QLED 60hz pb51,73
5820,typomaster,65
5820,gizmoclick,143
5820,pixpad,64
24573,escaper,72
24573,qwertyguardian,75
24573,OLCD 60hz i3xaz,77
24573,jetnote,43
24573,beatblaster,131
24573,escaper,138
24573,Mightyscroller,146
24573,TechRodent,53
24573,Vidrio templado,40
24573,jetnote,43
24573,QLED 60hz pb51,76
8130,QLED 60hz pb51,147
8130,LCD 60hz pldas,139
8130,shiftmate,44
8130,Mightyscroller,86
8130,OLCD 60hz i3xaz,94
8130,pixpad,52
8130,TechRodent,59
8130,QLED 60hz pb51,84
9669,QLED 60hz sd56,57
9669,typomaster,62
9669,typomaster,52
9669,QLED 60hz sd56,127
9669,pixpad,113
9669,typomaster,47
5868,Vidrio templado,74
5868,OLCD 60hz i3xaz,148
5868,typomaster,118
5868,QLED 60hz sd56,121
5868,lapjet,143
5868,basspulse,106
16461,gizmoclick,149
16461,earecho,112
16461,lamina plastica,49
24432,Masterswipe,143
24432,jetnote,137
24432,basspulse,49
24432,enterwizard,129
24432,QLED 60hz pb51,107
24432,acusticflow,94
24432,earecho,51
24432,miniglide,68
16466,beatblaster,130
16466,shiftmate,90
16466,TechRodent,82
18222,QLED 60hz pb51,119
18222,enterwizard,94
18222,jetnote,53
18222,miniglide,71
18222,LCD 30hz pb23,122
18222,Masterswipe,75
18222,QLED 60hz pb51,86
18222,shiftmate,86
18222,qwertyguardian,115
859,silverscreen,140
859,TechRodent,140
859,escaper,87
859,QLED 60hz pb51,67
859,Masterswipe,121
859,Mightyscroller,84
4743,typomaster,71
4743,typomaster,40
4743,lamina plastica,84
4743,QLED 60hz pb51,109
4743,gizmoclick,143
14166,beatblaster,78
14166,pixpad,116
14166,Masterswipe,81
14166,Masterswipe,126
14166,basspulse,111
14166,earecho,75
14166,QLED 60hz sd56,79
14166,LCD 30hz pb23,60
17543,LCD 30hz pb23,49
17543,gizmoclick,97
17543,beatblaster,68
17543,LCD 30hz pb23,50
17543,escaper,134
17543,escaper,114
17543,Mightyscroller,69
17543,miniglide,127
356,qwertyguardian,86
356,QLED 60hz pb51,88
356,OLCD 60hz i3xaz,130
356,typomaster,118
24849,Mightyscroller,70
24849,qwertyguardian,83
24849,Masterswipe,92
24849,gizmoclick,147
24849,escaper,105
24849,LCD 30hz pb23,128
24849,OLCD 60hz i3xaz,113
3343,gizmoclick,102
3343,silverscreen,41
3343,pixpad,55
3343,lamina plastica,109
3343,Mightyscroller,108
3343,basspulse,100
3343,QLED 60hz pb51,113
1782,laplux,107
1782,acusticflow,98
1782,enterwizard,74
1782,Mightyscroller,136
1782,QLED 60hz pb51,48
1782,qwertyguardian,134
1782,earecho,107
1782,beatblaster,65
1782,LCD 60hz pldas,128
1782,earecho,66
1782,enterwizard,135
1782,QLED 60hz pb51,111
1782,typomaster,104
1782,LCD 30hz pb23,63
1782,typomaster,41
19930,QLED 60hz pb51,139
19930,LCD 60hz pldas,113
19930,beatblaster,84
19930,TechRodent,84
19930,QLED 60hz pb51,113
19930,gizmoclick,48
19930,silverscreen,101
19930,jetnote,124
19930,lapjet,94
19930,LCD 60hz pldas,58
5416,earecho,85
5416,miniglide,66
5416,basspulse,97
5416,earecho,99
5416,QLED 60hz pb51,87
10787,gizmoclick,107
10787,QLED 60hz sd56,140
10787,TechRodent,130
15821,silverscreen,41
15821,QLED 60hz pb51,110
15821,miniglide,42
15821,QLED 60hz pb51,48
15821,LCD 60hz pldas,92
15821,beatblaster,137
15821,laplux,119
15821,earecho,77
15821,OLCD 60hz i3xaz,128
15821,gizmoclick,135
15821,qwertyguardian,139
15821,jetnote,106
15821,basspulse,101
15821,typomaster,48
8661,escaper,84
8661,jetnote,89
17114,Masterswipe,77
17114,basspulse,52
17114,lapjet,87
17114,QLED 60hz sd56,49
17114,pixpad,143
17114,pixpad,51
17114,TechRodent,53
910,miniglide,40
14514,typomaster,145
14514,enterwizard,139
14514,lapjet,75
14514,gizmoclick,99
5068,LCD 30hz pb23,75
5068,silverscreen,83
5068,gizmoclick,63
11534,miniglide,85
11534,basspulse,88
11534,lamina plastica,127
11534,escaper,91
11534,gizmoclick,106
11534,acusticflow,40
11534,LCD 60hz pldas,99
10051,beatblaster,107
10051,OLCD 60hz i3xaz,71
10051,lamina plastica,48
10051,beatblaster,79
10051,typomaster,84
10051,enterwizard,116
10051,laplux,79
10051,Mightyscroller,75
10051,QLED 60hz pb51,104
17323,enterwizard,116
17323,lamina plastica,90
17323,lapjet,67
17323,lamina plastica,76
17323,escaper,149
953,earecho,63
953,earecho,119
4547,miniglide,99
4547,Masterswipe,133
5138,typomaster,41
5138,enterwizard,133
5138,TechRodent,55
5138,gizmoclick,132
5138,LCD 60hz pldas,109
5138,QLED 60hz pb51,80
5138,QLED 60hz sd56,121
5138,beatblaster,125
5138,acusticflow,133
5138,earecho,80
6148,TechRodent,75
6148,QLED 60hz sd56,75
6148,enterwizard,96
6148,basspulse,77
6148,Masterswipe,64
6148,OLCD 60hz i3xaz,60
6148,TechRodent,120
24119,shiftmate,143
22622,qwertyguardian,60
22622,acusticflow,85
22622,QLED 60hz pb51,69
22622,miniglide,140
22622,Vidrio templado,135
22622,typomaster,55
8257,LCD 60hz pldas,147
8257,TechRodent,129
8257,jetnote,111
8257,Masterswipe,46
8257,escaper,119
8193,silverscreen,107
8193,escaper,121
8193,LCD 30hz pb23,78
8193,Mightyscroller,118
8193,typomaster,102
8193,silverscreen,69
8193,basspulse,76
22552,earecho,141
22552,qwertyguardian,147
22552,lamina plastica,76
22552,Masterswipe,136
22552,Mightyscroller,115
22552,TechRodent,55
22552,TechRodent,79
22552,acusticflow,135
13204,miniglide,66
13204,Vidrio templado,143
13204,Masterswipe,91
13204,TechRodent,45
13204,typomaster,105
13204,Masterswipe,70
13204,qwertyguardian,135
19970,qwertyguardian,83
19970,LCD 60hz pldas,71
19970,acusticflow,74
19970,escaper,89
19970,miniglide,117
19970,gizmoclick,65
19970,jetnote,121
19970,lamina plastica,59
19970,enterwizard,71
8055,generico,101
8055,OLCD 60hz i3xaz,149
8055,OLCD 60hz i3xaz,71
8055,LCD 30hz pb23,149
8055,QLED 60hz pb51,93
8055,LCD 60hz pldas,41
12439,beatblaster,137
12439,lapjet,65
12439,miniglide,136
6144,laplux,128
459,generico,128
459,OLCD 60hz i3xaz,70
459,typomaster,133
459,TechRodent,79
459,TechRodent,128
459,miniglide,140
459,jetnote,112
459,TechRodent,88
459,jetnote,147
18624,lapjet,122
18624,enterwizard,122
18624,escaper,112
18624,QLED 60hz pb51,81
18624,OLCD 60hz i3xaz,76
18624,pixpad,50
18624,QLED 60hz pb51,148
7,Masterswipe,123
7,enterwizard,90
7,Masterswipe,123
7,QLED 60hz pb51,140
7,QLED 60hz pb51,125
7,basspulse,64
7,basspulse,49
7,typomaster,42
20900,LCD 30hz pb23,149
20900,silverscreen,43
20900,LCD 60hz pldas,90
20900,enterwizard,107
20900,acusticflow,89
1519,Mightyscroller,83
1519,miniglide,51
15554,typomaster,44
15554,lapjet,68
15554,basspulse,96
15554,lamina plastica,73
15554,earecho,44
24623,Vidrio templado,143
24623,QLED 60hz pb51,52
24623,QLED 60hz sd56,100
24623,Masterswipe,107
24623,lapjet,54
24623,beatblaster,103
24623,LCD 60hz pldas,106
24623,LCD 30hz pb23,63
24623,LCD 30hz pb23,63
24623,escaper,122
24623,acusticflow,140
24623,beatblaster,57
12447,silverscreen,141
12447,miniglide,45
12447,QLED 60hz sd56,111
12447,miniglide,97
12447,earecho,73
12447,jetnote,99
12447,escaper,57
12447,basspulse,95
4902,basspulse,89
4902,Masterswipe,103
4902,Mightyscroller,108
4902,basspulse,98
4902,pixpad,128
4902,beatblaster,62
4902,beatblaster,126
4902,Mightyscroller,74
4902,QLED 60hz sd56,129
11,acusticflow,84
11,TechRodent,97
11,LCD 30hz pb23,88
11,miniglide,43
11,OLCD 60hz i3xaz,83
10157,gizmoclick,46
10157,Vidrio templado,48
10157,QLED 60hz pb51,51
10157,LCD 60hz pldas,111
10157,acusticflow,65
10157,Masterswipe,136
10157,basspulse,40
10157,enterwizard,99
10157,generico,50
10157,acusticflow,103
10157,escaper,60
10157,QLED 60hz pb51,45
10157,laplux,83
18988,qwertyguardian,145
18988,typomaster,143
18988,gizmoclick,43
18988,laplux,89
18988,basspulse,77
18988,Mightyscroller,43
18988,escaper,91
18988,basspulse,116
18988,QLED 60hz sd56,62
2761,OLCD 60hz i3xaz,48
2761,LCD 60hz pldas,49
2761,gizmoclick,64
2761,LCD 60hz pldas,138
2761,acusticflow,91
14431,basspulse,134
14431,lapjet,120
14431,beatblaster,149
14431,QLED 60hz pb51,60
14431,enterwizard,66
14431,typomaster,127
14431,acusticflow,103
14431,escaper,76
14431,Mightyscroller,71
22531,shiftmate,67
22531,TechRodent,94
22531,OLCD 60hz i3xaz,46
22531,TechRodent,55
22531,QLED 60hz pb51,71
22531,lamina plastica,97
22531,jetnote,100
22531,QLED 60hz sd56,41
22045,shiftmate,63
22045,silverscreen,48
22045,enterwizard,94
